loc_x,loc_y,loc_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,t,t_total,tick
61.859295,867.255493,228.417114,-599.569885,22.713346,0.0,-0.043769,-1.112492,0.0,0.111558,1.606111,16
3.212828,869.475098,228.417114,-599.571106,22.683298,0.0,-0.01248,-0.3072,0.0,0.097814,1.703924,17
-52.547459,871.421814,228.417114,-599.730774,17.972454,0.0,-1.717046,-50.659725,0.0,0.09299,1.796914,18
-111.467072,872.814453,228.417114,-599.874268,12.2755,0.0,-1.460844,-57.998108,0.0,0.098227,1.895141,19
-178.4888,874.030762,228.417114,-599.912598,10.26074,0.0,-0.343087,-18.033846,0.0,0.111721,2.006862,20
-237.009033,874.998352,228.417114,-599.92041,9.766431,0.0,-0.08009,-5.06742,0.0,0.097547,2.104408,21
-293.058136,875.901123,228.417114,-599.923584,9.615301,0.0,-0.033971,-1.617612,0.0,0.093428,2.197836,22
-352.372345,876.848206,228.417114,-599.923401,9.562887,0.0,0.001852,-0.530128,0.0,0.09887,2.296706,23
-417.97226,877.892883,228.417114,-599.923401,9.548162,0.0,0.0,-0.134668,0.0,0.109348,2.406054,24
-476.514923,878.824463,228.417114,-599.923401,9.545307,0.0,0.0,-0.029251,0.0,0.097583,2.503637,25
-533.641724,879.733521,228.417114,-599.924988,9.546505,0.0,-0.016665,0.012579,0.0,0.095223,2.598861,26
-593.093201,880.679199,228.417114,-599.923035,9.541718,0.0,0.019709,-0.04831,0.0,0.099098,2.697959,27
-649.03009,881.568787,228.417114,-599.924805,9.54165,0.0,-0.018983,-0.000726,0.0,0.093242,2.791201,28
-717.054443,882.650818,228.417114,-599.922607,9.54312,0.0,0.019378,0.012969,0.0,0.113388,2.904589,29
-773.967712,883.556213,228.417114,-599.923523,9.544672,0.0,-0.009651,0.016356,0.0,0.094867,2.999455,30
-829.289185,884.436218,228.417114,-599.923706,9.543671,0.0,-0.001986,-0.010859,0.0,0.092215,3.09167,31
-878.977295,885.226746,228.417114,-128.942978,2.050568,0.0,4097.53125,-65.189972,0.0,0.114943,3.206613,32
-898.308716,864.60199,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.097127,0.097127,1
-898.308716,864.60199,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.11409,0.211217,2
-898.671814,853.418213,228.417114,-6.341042,-195.300186,0.0,-66.459412,-2046.908813,0.0,0.095412,0.306629,3
-899.616638,824.309509,228.417114,-12.568807,-387.219147,0.0,-66.422058,-2046.906494,0.0,0.09376,0.40039,4
-901.335083,771.362976,228.417114,-19.41083,-598.085083,0.0,-66.415924,-2046.888184,0.0,0.103018,0.503407,5
-903.141113,715.719116,228.417114,-19.462923,-599.684937,0.0,-0.561421,-17.241901,0.0,0.092789,0.596196,6
