loc_x,loc_y,loc_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,t,t_total,tick
-426.502899,850.208252,228.417114,-599.988892,3.613693,0.0,-0.001388,0.487276,0.0,0.087973,1.890378,19
-490.751526,850.59613,228.417114,-599.989624,3.627685,0.0,-0.00684,0.130669,0.0,0.107082,1.99746,20
-553.84668,850.978027,228.417114,-599.988892,3.632116,0.0,0.006965,0.04214,0.0,0.10516,2.10262,21
-616.916443,851.359863,228.417114,-599.987915,3.633214,0.0,0.00929,0.010445,0.0,0.105118,2.207738,22
-670.433167,851.68396,228.417114,-599.987549,3.634861,0.0,0.004106,0.018462,0.0,0.089196,2.296934,23
-734.328308,852.071106,228.417114,-599.989136,3.634408,0.0,-0.014901,-0.004258,0.0,0.106494,2.403428,24
-788.078857,852.396606,228.417114,-599.988281,3.632926,0.0,0.009538,-0.016535,0.0,0.089585,2.493013,25
-841.812805,852.721924,228.417114,-244.278061,1.48,0.0,3347.776611,-20.262327,0.0,0.106253,2.599266,26
-845.37738,852.74353,228.417114,0.0,0.0,0.0,2312.10376,-14.008272,0.0,0.105652,2.704918,27
-845.37738,852.74353,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.088595,2.793513,28
-836.050049,809.751282,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.107564,0.107564,1
-836.050049,809.751282,228.417114,0.0,0.0,0.0,0.0,0.0,0.0,0.087545,0.195109,2
-835.19519,795.98407,228.417114,13.638726,-219.630646,0.0,126.931465,-2044.0354,0.0,0.10745,0.302559,3
-832.869019,758.521423,228.417114,27.300619,-439.670746,0.0,126.911652,-2044.054321,0.0,0.107649,0.410208,4
-829.965149,710.832458,228.417114,35.301651,-598.960266,0.0,91.135818,-1814.38855,0.0,0.087792,0.498,5
-826.539368,646.187439,228.417114,29.520594,-599.272766,0.0,-53.580452,-2.896337,0.0,0.107895,0.605895,6
-824.115479,592.496704,228.417114,25.373945,-599.461975,0.0,-46.292076,-2.112279,0.0,0.089576,0.695471,7
-821.989075,529.195557,228.417114,15.374392,-599.803101,0.0,-94.725784,-3.231482,0.0,0.105563,0.801034,8
-821.328064,464.684845,228.417114,-0.490091,-600.000366,0.0,-147.539825,-1.834572,0.0,0.107527,0.908561,9
-821.792542,409.601959,228.417114,-7.136724,-599.956787,0.0,-72.396851,0.474675,0.0,0.091808,1.000369,10
-822.832581,345.194885,228.417114,-10.864439,-599.901367,0.0,-34.721676,0.516207,0.0,0.10736,1.107729,11
-823.861267,291.558716,228.417114,-11.8024,-599.884399,0.0,-10.490464,0.189773,0.0,0.089411,1.19714,12
